3;2016;2;33000;2
4;2016;2;0;520
5;2016;2;13000;1
6;2016;2;11300;1
7;2016;2;37800;1
8;2016;2;0;1
9;2016;2;27000;1
11;22500;2
12;2016;2;0;1
13;2016;2;0;1
14;2016;2;14880;2
16;2016;2;28000;1
17;2016;2;62800;2
19;2016;2;10000;1
20;2016;2;0;2
22;2016;2;0;1
23;2016;2;13000;1
24;2016;2;21000;2
25;2016;2;37500;1
26;2016;2;10400;1
27;2016;2;10400;1
28;;20600;2
29;2016;2;18000;1
32;2016;2;26000;1
33;2016;2;15000;1
34;2016;2;9620;1
35;2016;2;43959;2
36;2016;2;45000;1
37;2016;2;9500;2
38;2016;2;0;1
39;2016;2;35500;1
40;2016;2;0;1
41;2016;2;52000;1
42;2016;2;42000;2
43;2016;2;37600;2
44;2016;2;65000;1
46;2016;2;16000;2
48;2016;2;0;2
49;2016;2;0;1
50;2016;2;0;1

